index,card_id,card_name,card_number,set_id,set_name,card_market_value
111,base1-1,Alakazam,1,base1,Base,56.53
112,base1-2,Blastoise,2,base1,Base,155.97
113,base1-3,Chansey,3,base1,Base,30.64
114,base1-4,Charizard,4,base1,Base,457.11
115,base1-5,Clefairy,5,base1,Base,25.87
116,base1-6,Gyarados,6,base1,Base,32.99
117,base1-7,Hitmonchan,7,base1,Base,18.56
118,base1-8,Machamp,8,base1,Base,0.0
119,base1-9,Magneton,9,base1,Base,20.8
121,base1-10,Mewtwo,10,base1,Base,35.77
122,base1-11,Nidoking,11,base1,Base,27.78
123,base1-12,Ninetales,12,base1,Base,23.3
124,base1-13,Poliwrath,13,base1,Base,21.86
125,base1-14,Raichu,14,base1,Base,44.92
126,base1-15,Venusaur,15,base1,Base,113.99
127,base1-16,Zapdos,16,base1,Base,38.51
128,base1-17,Beedrill,17,base1,Base,3.7
129,base1-18,Dragonair,18,base1,Base,15.28
131,base1-19,Dugtrio,19,base1,Base,6.68
132,base1-20,Electabuzz,20,base1,Base,7.25
133,base1-21,Electrode,21,base1,Base,6.26
134,base1-22,Pidgeotto,22,base1,Base,8.49
135,base1-23,Arcanine,23,base1,Base,3.33
136,base1-24,Charmeleon,24,base1,Base,1.65
137,base1-25,Dewgong,25,base1,Base,2.34
138,base1-26,Dratini,26,base1,Base,2.16
139,base1-27,Farfetch'd,27,base1,Base,1.29
141,base1-28,Growlithe,28,base1,Base,1.19
142,base1-29,Haunter,29,base1,Base,1.49
143,base1-30,Ivysaur,30,base1,Base,2.28
144,base1-31,Jynx,31,base1,Base,0.8
145,base1-32,Kadabra,32,base1,Base,1.5
146,base1-33,Kakuna,33,base1,Base,1.07
147,base1-34,Machoke,34,base1,Base,0.68
148,base1-35,Magikarp,35,base1,Base,2.34
149,base1-36,Magmar,36,base1,Base,2.86
151,base1-37,Nidorino,37,base1,Base,1.88
152,base1-38,Poliwhirl,38,base1,Base,1.65
153,base1-39,Porygon,39,base1,Base,2.47
154,base1-40,Raticate,40,base1,Base,2.11
155,base1-41,Seel,41,base1,Base,1.08
156,base1-42,Wartortle,42,base1,Base,2.61
157,base1-43,Abra,43,base1,Base,0.61
158,base1-44,Bulbasaur,44,base1,Base,2.04
159,base1-45,Caterpie,45,base1,Base,1.09
161,base1-46,Charmander,46,base1,Base,1.59
162,base1-47,Diglett,47,base1,Base,0.55
163,base1-48,Doduo,48,base1,Base,1.33
164,base1-49,Drowzee,49,base1,Base,0.53
165,base1-50,Gastly,50,base1,Base,0.71
166,base1-51,Koffing,51,base1,Base,0.5
167,base1-52,Machop,52,base1,Base,0.35
168,base1-53,Magnemite,53,base1,Base,0.55
169,base1-54,Metapod,54,base1,Base,0.78
171,base1-55,Nidoran ♂,55,base1,Base,0.48
172,base1-56,Onix,56,base1,Base,0.66
173,base1-57,Pidgey,57,base1,Base,1.21
174,base1-58,Pikachu,58,base1,Base,3.07
175,base1-59,Poliwag,59,base1,Base,0.49
176,base1-60,Ponyta,60,base1,Base,0.35
177,base1-61,Rattata,61,base1,Base,0.6
178,base1-62,Sandshrew,62,base1,Base,0.66
179,base1-63,Squirtle,63,base1,Base,2.9
181,base1-64,Starmie,64,base1,Base,0.51
182,base1-65,Staryu,65,base1,Base,0.35
183,base1-66,Tangela,66,base1,Base,0.87
184,base1-67,Voltorb,67,base1,Base,1.56
185,base1-68,Vulpix,68,base1,Base,0.46
186,base1-69,Weedle,69,base1,Base,0.43
187,base1-70,Clefairy Doll,70,base1,Base,5.61
188,base1-71,Computer Search,71,base1,Base,3.16
189,base1-72,Devolution Spray,72,base1,Base,4.83
191,base1-73,Impostor Professor Oak,73,base1,Base,6.39
192,base1-74,Item Finder,74,base1,Base,8.33
193,base1-75,Lass,75,base1,Base,2.59
194,base1-76,Pokémon Breeder,76,base1,Base,7.05
